GO ID	TERM	PVAL	FDR	UIDS
44249	cellular biosynthetic process	1.6665E-08	5.7312E-07	Q9FLF0 Q84P21 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 O80452 Q8GXW5 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9FLE4 Q9LPG6 P98204 Q8L518 Q9FKC0 Q9FY65 Q9FR44 O80526 Q9FZ80 Q9SJE2 Q8GWG0 Q0WNZ5 Q9FGS4 Q06327 Q94AY1 Q96529 Q9XJ27 O22290 Q9C8J4 Q8L8W6 O65202 O04603 Q9LUT2 Q9SYL9 P43256 Q9LVI8 Q9SZF8 Q9ZQP2 Q9C7W7 Q9LUK2 Q9LHA4 Q94FY7 Q9SIE3 Q9ZUU1 Q9CAV0 Q9M9H6
6631	fatty acid metabolic process	4.6383E-08	1.5287E-06	Q9ZQP2 O23299 O65202 Q9SXP7 Q9LXS6 Q96329 Q9SJH7 Q94FY7 Q9SJE2 Q9SIE3 Q9ZPI6
6635	fatty acid beta-oxidation	6.3055E-08	1.9951E-06	Q9ZQP2 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
15980	energy derivation by oxidation of organic compounds	9.6172E-08	2.9259E-06	P92514 Q8L735 Q8GVE8 Q9FGS4 O81796 Q9LXS6 Q9MAH0 Q9SJH7
19395	fatty acid oxidation	1.0387E-07	3.043E-06	Q9ZQP2 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
6091	generation of precursor metabolites and energy	1.2917E-07	3.6491E-06	P48491 Q9CAC5 O65595 Q9ZQP2 P04778 Q8L735 Q9FKG3 Q8GVE8 Q9LXS6 Q9SGH4 Q9SJH7 P57106 Q9T0G2 P92514 Q9FI13 Q9FGS4 O81796 Q94AY1 Q9C639 Q9MAH0 Q9LF98
55114	oxidation-reduction process	1.8762E-07	5.1175E-06	Q8VYH2 Q9CAC5 Q8LPL3 Q9FVR9 O65202 Q9SYT0 Q9SJH7 Q9FIJ0 P57106 Q9ZPI6 Q9M7T0 Q9FI13 Q8RWZ3 P43256 Q9SAK4 Q9LF98 Q9LPG6 Q9ZQP2 Q8L735 Q8GVE8 Q8LA96 Q9LXS6 Q42564 Q9FX83 Q9T0G2 P92514 Q9FGS4 Q06327 O81796 Q9SWG0 Q96329 Q94AY1 Q9MAH0 Q8S528
6099	tricarboxylic acid cycle	2.7299E-07	7.1695E-06	Q8GVE8 O81796 Q9LXS6 Q9MAH0 Q9SJH7
90407	organophosphate biosynthetic process	2.8098E-07	7.1695E-06	O80452 P98204 Q8L518 Q9FGS4 Q9C9Z8 Q9FR44 O80526 Q9LHA4 Q94AY1 Q9ZUU1 Q96529 Q9M9H6
34440	lipid oxidation	3.0665E-07	7.5799E-06	Q9ZQP2 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
44255	cellular lipid metabolic process	3.8307E-07	9.182E-06	Q9ZQP2 O23299 O65202 Q8L518 Q9FR44 Q9LXS6 Q9SJH7 Q94FY7 Q9SJE2 Q9SIE3 Q9ZPI6 Q8GWG0 Q9SXP7 Q96329 P43256 Q9M9H6
44242	cellular lipid catabolic process	4.3327E-07	1.008E-05	Q9ZQP2 O23299 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
6629	lipid metabolic process	5.8956E-07	1.3324E-05	Q8VYH2 Q9ZQP2 O23299 O65202 Q8L518 Q9FR44 Q9LXS6 Q9SJH7 Q94FY7 Q9SJE2 Q9SIE3 Q9ZPI6 Q8GWG0 Q9SD81 Q9SXP7 Q96329 P43256 Q9M9H6 Q9C907
45333	cellular respiration	9.0397E-07	1.9326E-05	P92514 Q8GVE8 Q9FGS4 O81796 Q9LXS6 Q9MAH0 Q9SJH7
16042	lipid catabolic process	9.0397E-07	1.9326E-05	Q9ZQP2 O23299 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
1901135	carbohydrate derivative metabolic process	1.0423E-06	2.1696E-05	P48491 O65595 Q9LPG6 Q8L735 Q9FKG3 P98204 Q9C9Z8 O80526 Q9FZ80 Q9LHA4 P57106 Q9FI13 Q96529 Q9LH76 Q9LF98
15833	peptide transport	1.8127E-06	3.6765E-05	Q1PEX3 Q9STU3 Q9M817 Q66GN9 Q9C9Y1 Q9LW76 Q9LV10 Q9XH75 Q3E8X3 P59277 Q8RX77 Q39233 Q9LXC0 Q38885 O82481
44283	small molecule biosynthetic process	2.1208E-06	4.1939E-05	Q42605 Q9T074 Q9ZQP2 Q84P21 O65202 Q94FY7 Q9SJE2 Q9SIE3 Q0WNZ5 Q9FGS4 Q06327 Q8GXW5 Q8VYP2 Q9ZUU1 Q9LVI8
1901293	nucleoside phosphate biosynthetic process	2.3103E-06	4.4571E-05	O80452 P98204 Q9FGS4 Q9C9Z8 O80526 Q9LHA4 Q94AY1 Q9ZUU1 Q96529
42886	amide transport	2.552E-06	4.8063E-05	Q1PEX3 Q9STU3 Q9M817 Q66GN9 Q9C9Y1 Q9LW76 Q9LV10 Q9XH75 Q3E8X3 P59277 Q8RX77 Q39233 Q9LXC0 Q38885 O82481
6793	phosphorus metabolic process	3.1746E-06	5.8398E-05	P48491 Q9C9Z8 O82616 P57106 O80452 Q9FI13 Q43295 Q9M077 Q9LM33 Q9LFT8 Q9LMT0 Q9LH76 Q9LF98 Q9LUI6 O23334 O65595 Q9LPG6 Q9FKG3 P98204 Q9C9U4 Q8L518 O49203 Q9FR44 O80526 Q9LHA4 Q1PDI2 O81014 P92514 Q9FGS4 Q94AY1 Q9SCX8 Q9ZUU1 Q96529 Q9C8J4 Q9M1B9 Q9M9H6
9150	purine ribonucleotide metabolic process	4.0003E-06	7.1915E-05	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O80526 Q9LHA4 Q96529 P57106
6163	purine nucleotide metabolic process	5.04E-06	8.8592E-05	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O80526 Q9LHA4 Q96529 P57106
9259	ribonucleotide metabolic process	5.3334E-06	8.976E-05	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O80526 Q9LHA4 Q96529 P57106
19693	ribose phosphate metabolic process	5.3334E-06	8.976E-05	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O80526 Q9LHA4 Q96529 P57106
44262	cellular carbohydrate metabolic process	8E-06	0.00013183	Q9SD81 P48491 Q8L735 Q9FKG3 Q9FY54 Q9C7W7 O82616 Q9C8J4 Q9M1B9 P57106 Q9C907
72521	purine-containing compound metabolic process	8.703E-06	0.00014049	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O80526 Q9LHA4 Q96529 P57106
1901566	organonitrogen compound biosynthetic process	9.4126E-06	0.00014891	Q8L8W6 Q9FLF0 Q9C9Z8 Q9M2F1 Q9FLN4 O04603 Q8GXW5 Q9SYL9 Q8VYP2 P16181 O64380 Q9LVI8 Q9ASV6 Q9FLE4 Q9SZF8 P98204 Q8L518 Q9FKC0 Q9FY65 Q9LUK2 Q9FR44 O80526 Q9FZ80 Q9LHA4 Q0WNZ5 Q9FGS4 Q94AY1 Q9ZUU1 Q96529 Q9CAV0 Q9XJ27 O22290 Q9M9H6
71702	organic substance transport	9.9215E-06	0.00015388	Q1PEX3 Q9MA55 Q9STU3 P98204 Q9M817 Q66GN9 Q94FY7 Q9C9Y1 Q9LW76 Q9LV10 Q9XIE6 Q9XH75 Q8RWD9 Q9LTW0 Q3E8X3 P59277 Q8RX77 Q39233 Q9LXC0 Q38885 O82481
46034	ATP metabolic process	1.1302E-05	0.00016929	P92514 P48491 O65595 Q9FKG3 P98204 Q9C9Z8 Q9LHA4 P57106
30258	lipid modification	1.1343E-05	0.00016929	Q9ZQP2 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
33036	macromolecule localization	1.4677E-05	0.00021499	Q1PEX3 Q9MA55 Q9STU3 P98204 Q66GN9 Q9C9Y1 Q9LW76 Q9XIE6 Q9XH75 Q8RWD9 Q9LTW0 P59277 Q39233 Q9LXC0 Q38885 O82481
9165	nucleotide biosynthetic process	1.6103E-05	0.00023159	P98204 Q9FGS4 Q9C9Z8 O80526 Q9LHA4 Q94AY1 Q9ZUU1 Q96529
6796	phosphate-containing compound metabolic process	1.8482E-05	0.00026106	P48491 Q9C9Z8 O82616 P57106 O80452 Q9FI13 Q43295 Q9M077 Q9LM33 Q9LFT8 Q9LMT0 Q9LF98 Q9LUI6 O23334 O65595 Q9FKG3 P98204 Q9C9U4 Q8L518 O49203 Q9FR44 O80526 Q9LHA4 Q1PDI2 O81014 P92514 Q9FGS4 Q94AY1 Q9SCX8 Q9ZUU1 Q96529 Q9C8J4 Q9M1B9 Q9M9H6
5975	carbohydrate metabolic process	2.2697E-05	0.00031496	Q42605 P48491 Q9T074 O65595 Q8L735 Q9FKG3 Q9FKK7 Q9FMF1 Q9FY54 Q9C8T3 Q9C7W7 O82616 P57106 Q9SSL0 Q9SD81 Q9C8J4 Q9M1B9 Q9C907
9695	jasmonic acid biosynthetic process	2.4393E-05	0.00033268	Q9ZQP2 Q84P21 O65202 Q06327
6790	sulfur compound metabolic process	2.8916E-05	0.00038767	Q9LUT2 Q9SGU9 Q43295 Q0WNZ5 Q9SXP7 Q9FGS4 O80526 Q9FZ80 Q9SJL8
71705	nitrogen compound transport	3.0255E-05	0.00039886	Q1PEX3 Q9LYK2 Q9STU3 Q9M817 Q66GN9 Q9C9Y1 Q9LW76 Q9LV10 Q9XH75 Q3E8X3 P59277 Q8RX77 Q39233 Q9LXC0 Q38885 O82481
6656	phosphatidylcholine biosynthetic process	3.5444E-05	0.00045152	Q8L518 Q9FR44 Q9M9H6
46686	response to cadmium ion	3.6335E-05	0.00045152	Q9M7T0 P48491 Q9T074 O65202 Q9SYT0 Q9LK99 P57751 Q96529 O82660 Q9LVI8 P11574
46394	carboxylic acid biosynthetic process	3.6532E-05	0.00045152	Q9ZQP2 Q84P21 Q0WNZ5 O65202 Q9FGS4 Q06327 Q8GXW5 Q8VYP2 Q9ZUU1 Q9SJE2 Q9SIE3 Q9LVI8
16053	organic acid biosynthetic process	3.6532E-05	0.00045152	Q9ZQP2 Q84P21 Q0WNZ5 O65202 Q9FGS4 Q06327 Q8GXW5 Q8VYP2 Q9ZUU1 Q9SJE2 Q9SIE3 Q9LVI8
9694	jasmonic acid metabolic process	4.3678E-05	0.00053153	Q9ZQP2 Q84P21 O65202 Q06327
51234	establishment of localization	4.8666E-05	0.00057279	Q1PEX3 Q9MA55 Q9M817 Q9C9Z8 Q66GN9 Q9LW76 Q9LV10 Q9XIE6 Q9XH75 Q9SZH0 Q9C8E6 Q3E8X3 P59277 Q8RX77 Q39233 Q9C9Q4 Q9LXC0 Q38885 Q9LYK2 Q9STU3 O48850 P98204 Q9LHA4 Q94FY7 Q9C9Y1 P11574 P92514 Q8RWD9 Q9LTW0 Q8W4K6 Q39101 O82481
6165	nucleoside diphosphate phosphorylation	4.9241E-05	0.00057279	P48491 O65595 Q9FKG3 O49203 P57106
46939	nucleotide phosphorylation	4.9241E-05	0.00057279	P48491 O65595 Q9FKG3 O49203 P57106
10038	response to metal ion	6.0817E-05	0.00069719	Q9M7T0 P48491 Q9T074 O65202 Q9SYT0 Q9LK99 P57751 Q39101 Q96529 O82660 Q9LVI8 P11574
51179	localization	8.2257E-05	0.00092951	Q1PEX3 Q9MA55 Q9M817 Q9C9Z8 Q66GN9 Q9LW76 Q9LV10 Q9XIE6 Q9XH75 Q9SZH0 Q9C8E6 Q3E8X3 P59277 Q8RX77 Q39233 Q9C9Q4 Q9LXC0 Q38885 Q9LYK2 Q9STU3 O48850 P98204 Q9LHA4 Q94FY7 Q9C9Y1 P11574 P92514 Q8RWD9 Q9LTW0 Q8W4K6 Q39101 O82481
9132	nucleoside diphosphate metabolic process	8.9488E-05	0.00099697	P48491 O65595 Q9FKG3 O49203 P57106
46470	phosphatidylcholine metabolic process	0.00010243	0.0011253	Q8L518 Q9FR44 Q9M9H6
34654	nucleobase-containing compound biosynthetic process	0.00010471	0.0011346	O80452 Q9LPG6 P98204 Q9FGS4 Q9C9Z8 O80526 Q9LHA4 Q94AY1 Q9ZUU1 Q96529 Q9LH76
1901137	carbohydrate derivative biosynthetic process	0.0001233	0.001318	Q9LPG6 Q8L735 P98204 Q9C9Z8 O80526 Q9FZ80 Q9LHA4 Q96529 Q9LH76
15031	protein transport	0.00012709	0.0013404	Q1PEX3 Q9XH75 Q9STU3 P59277 Q66GN9 Q39233 Q9C9Y1 Q9LW76 Q9LXC0 Q38885 O82481
45184	establishment of protein localization	0.00013786	0.0014348	Q1PEX3 Q9XH75 Q9STU3 P59277 Q66GN9 Q39233 Q9C9Y1 Q9LW76 Q9LXC0 Q38885 O82481
50896	response to stimulus	0.00017367	0.0017841	Q1PEX3 Q8VYH2 P48491 Q84P21 Q9FJJ5 Q9M7T0 Q9LK99 Q9LFT8 Q8GYY5 Q8VZ56 Q9LFP1 O65390 Q9SAK4 O23299 Q9C9U4 Q9FZ87 Q9FR44 Q9FEC1 P11574 Q8LCQ4 Q06327 Q8W4K6 Q9SCX8 Q39101 Q96529 O82660 Q9ZVQ3 Q9T074 P04778 O65202 Q9SYT0 Q9FIJ0 Q9LW76 Q9LUT2 Q9LV93 Q9LM33 Q9SE45 Q9LVI8 Q42605 Q9ZQP2 P49078 O49203 Q42564 P57751 O64668 Q94FY7 Q1PDI2 Q9SIE3 Q9STS7 Q9FMY5 O49377 Q9M9H6 O82481
8104	protein localization	0.00017955	0.0018208	Q1PEX3 Q9XH75 Q9STU3 P59277 Q66GN9 Q39233 Q9C9Y1 Q9LW76 Q9LXC0 Q38885 O82481
